sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used
1.302e-08,939.4,58200.0,2.976054008407594,Davide Farnocchia,0.36954,,2640.122109260267,,,,,1 Ceres,,2.3698e-08,J2000,,0.2,-6778017204000.001,0.09,620.1540701,N,N,2.7966e-11,,522932512176.8197,2000001.0,1.1437e-08,1.9258e-09,1681.214216917383,a0000001,,24437.0,,132.02610546301335,4.60291366712494,3.0183e-12,20180323.0,JPL 34,2.6002e-11,1.1728e-08,,1.1644e-11,0.0,9.07417,,0.12,2017-03-05,3.34,8123022111651.299,,G,2458200.5,5993.0,1.59353,964.4 x 964.2 x 891.8,C,0.07553461024389638,62.873006000000004,20180428.2840531,1.0,MBA,0.426,2.767046248500289,3.31,80.30991865594387,352.2304611765882,Ceres,10.5935097971363,2458236.7840531357,,0.713,C,2.558038488592984,73.11534200131032,2.10258,0.2141309515334005,2.6858e-09,1950-04-09,405.0,5.622e-11,0.0
4.2841e-05,545.0,58200.0,3.411903965086236,Otto Matic,0.35954,,2641.82024915583,,,,,2 Pallas,,3.9317e-06,J2000,,18.0,-1050220927058.8237,0.101,479.7259673,N,N,5.3029e-09,,114543888042.45593,2000002.0,9.5268e-06,3.7277e-06,1686.429871227692,a0000002,,71847.0,,132.1110124577915,4.61719335038382,4.9767e-10,20180323.0,JPL 33,4.3096e-09,6.4667e-06,,3.3819e-08,0.0,7.8132,,0.11,2018-01-23,4.13,1778134717223.647,,B,2458200.5,8423.0,1.23269,582x556x500,B,0.2305054995905846,13.80133411764706,20180721.2837304,2.0,MBA,0.284,2.772766124346009,3.043,173.0838008845752,334.3231878791698,Pallas,34.83687567654144,2458320.7837304403,,0.635,B,2.133628283605784,310.0063356539786,1.85627,0.2134687045942362,9.1161e-06,1821-05-09,,9.35e-08,
3.8028e-05,246.596,58200.0,3.354447013302738,Otto Matic,0.31375,,2644.526178582113,,,,,3 Juno,,3.2932e-06,J2000,,10.594,-198520833333.33334,0.214,402.2811373,N,N,4.6245e-09,,1.7464412473029064e-45,2000003.0,1.9099e-05,3.5502e-06,1592.520405274228,a0000003,,72161.0,,5.416666666666668e-56,4.36008324510398,4.6747e-10,20180323.0,JPL 106,3.6794e-09,1.791e-05,,3.2736e-08,0.0,7.21,,0.32,2017-11-26,5.33,2.7083333333333337e-44,,S,2458200.5,7007.0,1.03369,,Sk,0.2568879142765101,1.8072708333333334,20181123.6019532,3.0,MBA,0.433,2.668851355161312,3.299,169.8587236229739,304.4800186913468,Juno,12.98972370220706,2458446.101953151,,0.824,Sk,1.983255697019885,248.1819160260522,2.18704,0.2260567580846846,8.5385e-06,1820-05-02,,8.7395e-08,
4.1815e-06,525.4,58200.0,2.572491540831787,Davide Farnocchia,0.39592,,2649.7816066543596,,,,,4 Vesta,,1.3143e-06,J2000,,0.2,-1939090416666.6665,0.4228,443.5331573,N,N,1.6999e-09,,1.7092601242794116e-44,2000004.0,1.8228e-07,2.2072e-07,1326.010050563823,a0000004,,24288.0,,5.2908333333333334e-55,3.63041766068124,2.691e-10,20180323.0,JPL 34,1.5609e-09,3.9433e-07,,2.317e-10,0.0,5.34212766,,0.32,2017-03-23,3.2,2.6454166666666668e-43,,V,2458200.5,9325.0,1.13969,572.6 x 557.2 x 446.4,V,0.08906808017015858,17.652865416666664,20180509.1993625,4.0,MBA,0.492,2.362103515539501,3.535,103.8151325904157,347.1857905761457,Vesta,7.140702268551379,2458247.6993624615,,0.782,V,2.151715490247215,150.7615368333637,2.46768,0.2714911548724137,1.1226e-06,1950-09-23,2977.0,1.9671e-09,0.0
3.8225e-05,106.699,58200.0,3.065945180411291,Otto Matic,0.49459,,2645.576599542029,,,,,5 Astraea,,4.077e-06,J2000,,3.14,-21147050000.0,0.274,425.7091713,N,N,5.5263e-09,,1.8611019001118255e-46,2000005.0,3.0941e-05,2.8218e-06,1507.930360507555,a0000005,,62779.0,,5.770000000000001e-57,4.128488324456,6.4548e-10,20180323.0,JPL 105,4.6387e-09,3.0009e-05,,2.4447e-08,0.0,16.806,,,2017-11-02,6.85,2.8850000000000007e-45,,S,2458200.5,2580.0,1.09389,,S,0.191358532797804,0.19251605000000002,20200317.352522,5.0,MBA,0.411,2.573486566811404,3.396,141.5836517601923,186.8309235260118,Astraea,5.367745027364807,2458925.8525219895,,0.826,S,2.081027953211516,358.746212934248,1.96226,0.238737815371545,8.9522e-06,1845-12-15,,6.2461e-08,
2.9539e-05,185.18,58200.0,2.917172498638935,Otto Matic,0.39879,,2649.326599478002,,,,,6 Hebe,,2.5498e-06,J2000,,2.9,-103792800000.00002,0.2679,379.01927889,N,N,3.5948e-09,,9.147506941362163e-46,2000006.0,1.3744e-05,2.2913e-06,1379.454768271376,a0000006,,61723.0,,2.8320000000000007e-56,3.77674132312492,4.8239e-10,20180323.0,JPL 84,2.9885e-09,1.1815e-05,,2.0622e-08,0.0,7.2745,,0.24,2017-09-02,5.71,1.4160000000000004e-44,,S,2458200.5,5962.0,0.973917,,S,0.2028812409550595,0.9448968000000001,20180531.8083015,6.0,MBA,0.399,2.425154204186249,3.439,138.6476403257976,341.7819408740293,Hebe,14.73710014520843,2458270.308301472,,0.822,S,1.933135909733563,239.8494792170151,2.63314,0.2609726743350372,7.6983e-06,1848-09-05,,5.0282e-08,
2.6723e-05,199.83,58200.0,2.937650272823846,Otto Matic,0.35102,,2650.763148571014,,,,,7 Iris,,1.9187e-06,J2000,,10.0,-102148785714.28572,0.2766,328.85721174,N,N,2.792e-09,,9.007497547045483e-46,2000007.0,2.7433e-05,2.6196e-06,1345.863642432111,a0000007,,61615.0,,2.787142857142858e-56,3.68477383280523,3.8133e-10,20180323.0,JPL 107,2.2673e-09,2.6754e-05,,2.0076e-08,0.0,7.139,,,2017-05-04,5.51,1.393571428571429e-44,,S,2458200.5,5033.0,0.845022,,S,0.2313976930137263,0.9299302142857144,20171118.3058905,7.0,MBA,0.484,2.385622686716451,3.492,259.5623689715001,33.35395800258632,Iris,5.523489793041096,2458075.8058905364,,0.855,S,1.833595100609057,145.301473271767,2.46943,0.2674862360866244,7.1789e-06,1848-08-23,1.0,4.7875e-08,0.0
4.0924e-05,147.491,58200.0,2.546571010111474,Otto Matic,0.51249,,2654.764719518791,,,,,8 Flora,,2.0864e-06,J2000,,1.025,-56212955555.555565,0.226,339.31537715,N,N,2.9696e-09,,0.0,2000008.0,2.7848e-05,3.3397e-06,1192.778212874922,a0000008,,62180.0,,0.0,3.26564876899363,5.2793e-10,20180323.0,JPL 113,2.5668e-09,2.5536e-05,,2.4677e-08,0.0,12.865,,0.28,2018-01-23,6.49,0.0,,S,2458200.5,2602.0,0.871895,,,0.1569509407427825,0.5117449555555557,20170720.3087109,8.0,MBA,0.489,2.201105440544032,3.642,110.9000205004789,74.1536549997119,Flora,5.886809545445695,2457954.8087108647,,0.885,?,1.855639870976589,285.2763639593256,2.86961,0.3018163780274804,1.2418e-05,1847-10-27,,5.4121e-08,
3.9658e-05,190.0,58200.0,2.679312983188519,Otto Matic,0.42398,,2649.3820481993293,,,,,9 Metis,,3.1482e-06,J2000,,,-63926762500.00001,0.118,431.3248944,N,N,4.1751e-09,,0.0,2000009.0,2.7124e-05,2.0507e-06,1346.890283058933,a0000009,,61305.0,,0.0,3.68758462165348,6.2475e-10,20180323.0,JPL 110,3.7193e-09,2.5171e-05,,1.8658e-08,0.0,5.079,,0.17,2017-06-05,6.28,0.0,,S,2458200.5,2570.0,1.10832,,,0.1225376597324889,0.5819690125,20160625.0231059,9.0,MBA,0.496,2.386835719905401,3.518,68.90905404068859,169.9853987751727,Metis,5.576570322221457,2457564.5231059105,,0.858,?,2.094358456622283,6.321572708763701,2.55632,0.267282349964246,1.0701e-05,1849-07-31,,4.472e-08,
6.1578e-05,407.12,58200.0,3.494037528853839,Otto Matic,0.53002,,2633.306025370345,,,,,10 Hygiea,,6.8256e-06,J2000,,6.8,-625982237000.0,0.0717,691.5434149,N,N,7.8223e-09,,48170627719.229195,2000010.0,3.0426e-05,2.196e-06,2032.5505574607,a0000010,,61545.0,,131.68530126851726,5.56482014362957,5.9478e-10,20180323.0,JPL 87,7.0302e-09,2.8739e-05,,1.64e-08,0.0,27.63,,,2017-11-26,5.43,750199859282.0249,,C,2458200.5,3254.0,1.77697,,C,0.11266803557883,5.806622166666667,20161217.5156665,10.0,MBA,0.351,3.140233580122735,3.197,283.2160932487255,81.55977200191582,Hygiea,3.831746383888417,2457740.015666531,,0.696,C,2.78642963139163,312.1066466096891,1.53543,0.177117365508366,1.1025e-05,1849-05-26,,5.1171e-08,
